risk_factor,outcome,outcome_label,Age,Age_label,logRR,logRR_se,RR_unit
fruit_exc_juice,HSTK,Hemorrhagic stroke,1,20-34,-0.46634830110801023,0.13125012821460658,100 g/d
fruit_exc_juice,HSTK,Hemorrhagic stroke,2,35-44,-0.4472769803389736,0.1258826522525183,100 g/d
fruit_exc_juice,HSTK,Hemorrhagic stroke,3,45-54,-0.37943887529657705,0.10679014143282452,100 g/d
fruit_exc_juice,HSTK,Hemorrhagic stroke,4,55-64,-0.3144124140078519,0.08848894603614481,100 g/d
fruit_exc_juice,HSTK,Hemorrhagic stroke,5,65-74,-0.26078870125097753,0.07339696616195865,100 g/d
fruit_exc_juice,HSTK,Hemorrhagic stroke,6,75+,-0.14973266998761636,0.03603299694830379,100 g/d
fruit_exc_juice,IHD,Ischemic heart disease,1,20-34,-0.093566754668598,0.02806327173017709,100 g/d
fruit_exc_juice,IHD,Ischemic heart disease,2,35-44,-0.08974034083292436,0.02691562381182243,100 g/d
fruit_exc_juice,IHD,Ischemic heart disease,3,45-54,-0.076129502503282,0.02283335489191454,100 g/d
fruit_exc_juice,IHD,Ischemic heart disease,4,55-64,-0.06308278412580891,0.01892028123331729,100 g/d
fruit_exc_juice,IHD,Ischemic heart disease,5,65-74,-0.05232387975321689,0.01569338661677918,100 g/d
fruit_exc_juice,IHD,Ischemic heart disease,6,75+,-0.03013485789400459,0.00778377579709192,100 g/d
fruit_exc_juice,ISTK,Ischemic stroke,1,20-34,-0.19083137371156375,0.04268446696256577,100 g/d
fruit_exc_juice,ISTK,Ischemic stroke,2,35-44,-0.18302732182115877,0.04093888504586465,100 g/d
fruit_exc_juice,ISTK,Ischemic stroke,3,45-54,-0.1552677293781886,0.03472972046521661,100 g/d
fruit_exc_juice,ISTK,Ischemic stroke,4,55-64,-0.12865867150053334,0.02877790326769175,100 g/d
fruit_exc_juice,ISTK,Ischemic stroke,5,65-74,-0.10671565863955462,0.02386977003306292,100 g/d
fruit_exc_juice,ISTK,Ischemic stroke,6,75+,-0.06107368869632401,0.01191079367776882,100 g/d
fruit_exc_juice,OSTK,Unidentified stroke,1,20-34,-0.3740699043723583,0.08845370657895596,100 g/d
fruit_exc_juice,OSTK,Unidentified stroke,2,35-44,-0.3880385953525624,0.09809306869586731,100 g/d
fruit_exc_juice,OSTK,Unidentified stroke,3,45-54,-0.32450992584747557,0.0810710822671313,100 g/d
fruit_exc_juice,OSTK,Unidentified stroke,4,55-64,-0.24710304059414473,0.057379772573348004,100 g/d
fruit_exc_juice,OSTK,Unidentified stroke,5,65-74,-0.18999045016849772,0.041158662193517714,100 g/d
fruit_exc_juice,OSTK,Unidentified stroke,6,75+,-0.09293743175267716,0.01503078316111964,100 g/d
fruit_tot,HSTK,Hemorrhagic stroke,1,20-34,-0.46634830110801023,0.13125012821460658,100 g/d
fruit_tot,HSTK,Hemorrhagic stroke,2,35-44,-0.4472769803389736,0.1258826522525183,100 g/d
fruit_tot,HSTK,Hemorrhagic stroke,3,45-54,-0.37943887529657705,0.10679014143282452,100 g/d
fruit_tot,HSTK,Hemorrhagic stroke,4,55-64,-0.3144124140078519,0.08848894603614481,100 g/d
fruit_tot,HSTK,Hemorrhagic stroke,5,65-74,-0.26078870125097753,0.07339696616195865,100 g/d
fruit_tot,HSTK,Hemorrhagic stroke,6,75+,-0.14973266998761636,0.03603299694830379,100 g/d
fruit_tot,IHD,Ischemic heart disease,1,20-34,-0.093566754668598,0.02806327173017709,100 g/d
fruit_tot,IHD,Ischemic heart disease,2,35-44,-0.08974034083292436,0.02691562381182243,100 g/d
fruit_tot,IHD,Ischemic heart disease,3,45-54,-0.076129502503282,0.02283335489191454,100 g/d
fruit_tot,IHD,Ischemic heart disease,4,55-64,-0.06308278412580891,0.01892028123331729,100 g/d
fruit_tot,IHD,Ischemic heart disease,5,65-74,-0.05232387975321689,0.01569338661677918,100 g/d
fruit_tot,IHD,Ischemic heart disease,6,75+,-0.03013485789400459,0.00778377579709192,100 g/d
fruit_tot,ISTK,Ischemic stroke,1,20-34,-0.19083137371156375,0.04268446696256577,100 g/d
fruit_tot,ISTK,Ischemic stroke,2,35-44,-0.18302732182115877,0.04093888504586465,100 g/d
fruit_tot,ISTK,Ischemic stroke,3,45-54,-0.1552677293781886,0.03472972046521661,100 g/d
fruit_tot,ISTK,Ischemic stroke,4,55-64,-0.12865867150053334,0.02877790326769175,100 g/d
fruit_tot,ISTK,Ischemic stroke,5,65-74,-0.10671565863955462,0.02386977003306292,100 g/d
fruit_tot,ISTK,Ischemic stroke,6,75+,-0.06107368869632401,0.01191079367776882,100 g/d
fruit_tot,OSTK,Unidentified stroke,1,20-34,-0.3740699043723583,0.08845370657895596,100 g/d
fruit_tot,OSTK,Unidentified stroke,2,35-44,-0.3880385953525624,0.09809306869586731,100 g/d
fruit_tot,OSTK,Unidentified stroke,3,45-54,-0.32450992584747557,0.0810710822671313,100 g/d
fruit_tot,OSTK,Unidentified stroke,4,55-64,-0.24710304059414473,0.057379772573348004,100 g/d
fruit_tot,OSTK,Unidentified stroke,5,65-74,-0.18999045016849772,0.041158662193517714,100 g/d
fruit_tot,OSTK,Unidentified stroke,6,75+,-0.09293743175267716,0.01503078316111964,100 g/d
gr_whole,DIAB,DIAB,1,20-34,-0.18962833084018613,0.04285854281478796,50 g/d
gr_whole,DIAB,DIAB,2,35-44,-0.18187347740605175,0.04110584206349907,50 g/d
gr_whole,DIAB,DIAB,3,45-54,-0.15428888752765643,0.03487135525926763,50 g/d
gr_whole,DIAB,DIAB,4,55-64,-0.12784757899210972,0.02889526535261329,50 g/d
gr_whole,DIAB,DIAB,5,65-74,-0.10604289970115945,0.02396711576223642,50 g/d
gr_whole,DIAB,DIAB,6,75+,-0.06086644348404702,0.01184827137149275,50 g/d
gr_whole,HSTK,Hemorrhagic stroke,1,20-34,0,0,50 g/d
gr_whole,HSTK,Hemorrhagic stroke,2,35-44,0,0,50 g/d
gr_whole,HSTK,Hemorrhagic stroke,3,45-54,0,0,50 g/d
gr_whole,HSTK,Hemorrhagic stroke,4,55-64,0,0,50 g/d
gr_whole,HSTK,Hemorrhagic stroke,5,65-74,0,0,50 g/d
gr_whole,HSTK,Hemorrhagic stroke,6,75+,0,0,50 g/d
gr_whole,IHD,Ischemic heart disease,1,20-34,-0.04510590917938557,0.02024459220196102,50 g/d
gr_whole,IHD,Ischemic heart disease,2,35-44,-0.04326130234690596,0.01941668930019294,50 g/d
gr_whole,IHD,Ischemic heart disease,3,45-54,-0.03669989878293059,0.01647177716247502,50 g/d
gr_whole,IHD,Ischemic heart disease,4,55-64,-0.03041044163217591,0.01364892096679661,50 g/d
gr_whole,IHD,Ischemic heart disease,5,65-74,-0.0252238754718055,0.01132106816978044,50 g/d
gr_whole,IHD,Ischemic heart disease,6,75+,-0.01437572861490185,0.00569874100953019,50 g/d
gr_whole,ISTK,Ischemic stroke,1,20-34,-0.210721031,0.06528912602040816,50 g/d
